id,estimate
201583,-26.9878874329852
203584,-27.1158920042073
1628432,-27.2916161401189
201577,-27.3043212606264
1626188,-27.3177617764119
203897,-27.5044650350639
203512,-27.5178669513011
203901,-27.5942935425985
1627780,-27.6909388912832
1626144,-27.7254885987311
1626156,-27.9720070251241
202083,-27.9885372507341
1627846,-28.0170862528411
1627786,-28.0585690901836
1628681,-28.0961283460192
1626163,-28.1958834950587
203504,-28.2169430658808
202328,-28.2382499929215
1626157,-28.2738272083381
203503,-28.3732355430771
202362,-28.5347764150543
202685,-28.7634842129498
1628416,-28.8145546297533
1626202,-28.8283481758998
1626175,-28.9266381119712
1628368,-28.9953275041198
203085,-29.1697824239587
1628370,-29.3347386475428
1626245,-29.9186096899799
1627751,-29.9227638683971
201156,-29.9946191043237
203498,-31.0702974418687
1627775,-31.2676504033159
1627750,-31.7000720155243
204037,-31.7744858173641
202718,-31.9309805234482
1627362,-32.7313486927665
1627875,-32.9109662029093
1626143,-33.1186704351624
1627824,-33.2187234342506
2037,-34.000829476968
203930,-34.5978910037736
1626151,-35.2413987866533
1628424,-36.3784538346083
203086,-36.9012173072389
1627790,-38.6536060543235
