y,x,adj.r.squared
bpm_nbastatr,drapm_sz,0.00277457845592322
drapm_sz,bpm_nbastatr,0.00277457845592322
drapm_calc,orapm_sz,-0.000377715478376395
orapm_sz,drapm_calc,-0.000377715478376395
drapm_sz,orpm_espn,-0.000629465301567267
orpm_espn,drapm_sz,-0.000629465301567267
drpm_espn,obpm_nbastatr,-0.000877407460209811
obpm_nbastatr,drpm_espn,-0.000877407460209811
drapm_sz,obpm_nbastatr,-0.000982228370707494
obpm_nbastatr,drapm_sz,-0.000982228370707494
drapm_sz,orapm_sz,-0.00170173638822768
orapm_sz,drapm_sz,-0.00170173638822768
dbpm_nbastatr,orapm_sz,-0.00179479462730514
orapm_sz,dbpm_nbastatr,-0.00179479462730514
dbpm_nbastatr,orpm_espn,-0.00182293801496436
orpm_espn,dbpm_nbastatr,-0.00182293801496436
drapm_calc,obpm_nbastatr,-0.00206558257836487
obpm_nbastatr,drapm_calc,-0.00206558257836487
drapm_sz,orapm_calc,-0.00232322558811582
orapm_calc,drapm_sz,-0.00232322558811582
dbpm_nbastatr,orapm_calc,-0.00240586902294027
orapm_calc,dbpm_nbastatr,-0.00240586902294027
drpm_espn,orapm_sz,-0.00266485819438733
orapm_sz,drpm_espn,-0.00266485819438733
drapm_calc,orpm_espn,-0.00279731164164621
orpm_espn,drapm_calc,-0.00279731164164621
drpm_espn,orapm_calc,-0.00293424571087253
orapm_calc,drpm_espn,-0.00293424571087253
