id,name,slug,rank,orapm,drapm,rapm
203082,Terrence Ross,ORL,91,0.874974897328407,0.0426736729965238,0.917648570324931
1626149,Montrezl Harrell,LAC,92,0.939932331625348,-0.0526242507829211,0.887308080842426
1713,Vince Carter,ATL,93,1.16325933718456,-0.295174032160097,0.868085305024465
202683,Enes Kanter,NYK,94,0.202154830950369,0.660054280034747,0.862209110985116
202339,Eric Bledsoe,MIL,95,0.012442780248743,0.83239826841183,0.844841048660573
202331,Paul George,OKC,96,1.11358114743406,-0.269552696677051,0.844028450757006
203930,Sean Kilpatrick,"",97,0.241837073607725,0.59801993140485,0.839857005012575
1626155,Sam Dekker,WAS,98,0.911782343209517,-0.0759941590529807,0.835788184156536
203953,Jabari Parker,CHI,99,-0.291373999539496,1.12153726120178,0.830163261662284
202710,Jimmy Butler,PHI,100,1.57947107185725,-0.770222239766354,0.809248832090896
202335,Patrick Patterson,OKC,101,1.67159659683901,-0.871766248206014,0.799830348632994
203901,Elfrid Payton,NOP,102,0.453296226410669,0.340465875548696,0.793762101959365
203524,Solomon Hill,NOP,103,0.560611416359744,0.228256801599015,0.788868217958758
101112,Channing Frye,CLE,104,1.16742218424043,-0.384613987690292,0.782808196550139
201988,Patty Mills,SAS,105,1.90094143580054,-1.12619404749399,0.774747388306551
201143,Al Horford,BOS,106,0.90608229131475,-0.1385612105099,0.767521080804849
2594,Kyle Korver,UTA,107,0.057448037752604,0.708149061208314,0.765597098960918
202702,Kenneth Faried,BKN,108,0.23278773029332,0.518440786759,0.751228517052319
2772,Trevor Ariza,PHX,109,0.130798909645117,0.60848724685782,0.739286156502938
201976,Patrick Beverley,LAC,110,0.839807340462411,-0.102539608537963,0.737267731924448
203081,Damian Lillard,POR,111,0.467009804820482,0.257846035008919,0.724855839829401
1627785,Isaiah Whitehead,"",112,1.17476570767746,-0.475717907080759,0.699047800596704
1627763,Malcolm Brogdon,MIL,113,0.908478709211183,-0.212190624099167,0.696288085112017
2546,Carmelo Anthony,HOU,114,0.233058284082692,0.442975385400631,0.676033669483324
201951,Ty Lawson,"",115,0.666672678210392,-0.0290509592771316,0.637621718933261
1627741,Buddy Hield,SAC,116,-0.465431650792975,1.06816811278447,0.602736461991499
201609,Goran Dragic,MIA,117,0.691196232768593,-0.0898154389186747,0.601380793849918
2738,Andre Iguodala,GSW,118,1.75708717640084,-1.16489797237209,0.592189204028748
201167,Arron Afflalo,"",119,-0.23425722565206,0.816953341692126,0.582696116040066
1627827,Dorian Finney-Smith,DAL,120,0.53930245927993,0.0321591564906136,0.571461615770544
1626147,Justin Anderson,ATL,121,0.182341365274627,0.376294854393764,0.558636219668391
202340,Avery Bradley,LAC,122,-0.22034166278869,0.776875576490127,0.556533913701437
201145,Jeff Green,WAS,123,-0.0600980943106083,0.608727812180976,0.548629717870368
202699,Tobias Harris,LAC,124,0.665528174600993,-0.121787956019918,0.543740218581075
203552,Seth Curry,POR,125,0.410566654011908,0.126501328204758,0.537067982216666
203944,Julius Randle,NOP,126,-0.442545201614514,0.9559076388227,0.513362437208185
1626158,Richaun Holmes,PHX,127,-0.396632195445665,0.909386167835471,0.512753972389806
203991,Clint Capela,HOU,128,0.708522179966949,-0.215423230894323,0.493098949072626
203585,Rodney McGruder,MIA,129,1.03102141524973,-0.542776997748168,0.48824441750156
202066,Garrett Temple,MEM,130,-0.0186307002516136,0.505637138662085,0.487006438410472
1627755,Tyler Ulis,CHI,131,-0.00195125042922963,0.465453376479407,0.463502126050178
201599,DeAndre Jordan,DAL,132,0.611131319363681,-0.172844673388374,0.438286645975307
201937,Ricky Rubio,UTA,133,-0.24973535567934,0.651736698393242,0.402001342713902
203915,Spencer Dinwiddie,BKN,134,0.5179282613236,-0.118837915590205,0.399090345733395
201147,Corey Brewer,"",135,0.459043164560302,-0.169942390231871,0.289100774328431
200794,Paul Millsap,DEN,136,0.845204103802072,-0.563650643801538,0.281553460000533
2199,Tyson Chandler,LAL,137,-0.287575532103814,0.56169531876637,0.274119786662556
1626169,Stanley Johnson,DET,138,0.233917682531882,0.0100590594524589,0.243976741984341
203500,Steven Adams,OKC,139,0.0589639749981394,0.168840801377242,0.227804776375382
200751,Randy Foye,"",140,-0.349609421459189,0.542720945516542,0.193111524057353
202324,Derrick Favors,UTA,141,0.590176202701173,-0.43075169038169,0.159424512319483
201572,Brook Lopez,MIL,142,-0.0105688886061431,0.164463271388728,0.153894382782585
2749,Jameer Nelson,"",143,0.0643165952366133,0.089134982042346,0.153451577278959
202709,Cory Joseph,IND,144,-0.116244582192507,0.226355958044928,0.110111375852421
202703,Nikola Mirotic,NOP,145,0.422146768128687,-0.321974521753758,0.100172246374929
203918,Rodney Hood,CLE,146,0.054054152247192,0.0144521692348973,0.0685063214820893
204025,Tim Frazier,NOP,147,-0.151106102482732,0.218014673615162,0.0669085711324305
2200,Pau Gasol,SAS,148,0.805820132960966,-0.74789268270683,0.0579274502541357
203145,Kent Bazemore,ATL,149,0.326268318616269,-0.271406219286118,0.054862099330151
203903,Jordan Clarkson,CLE,150,-1.28801853542234,1.3390629836246,0.0510444482022616
201160,Jason Smith,MIL,151,-0.140581669462386,0.187126581382925,0.0465449119205387
2736,Luol Deng,MIN,152,-0.527430230087392,0.568192009873266,0.0407617797858749
202691,Klay Thompson,GSW,153,1.08416191847547,-1.05310429466458,0.0310576238108891
203490,Otto Porter Jr.,WAS,154,-1.38266755364904,1.40612817714279,0.023460623493748
203932,Aaron Gordon,ORL,155,0.347086324139936,-0.354184796975566,-0.0070984728356292
202355,Hassan Whiteside,MIA,156,0.456113522096485,-0.472488306150887,-0.0163747840544017
1626161,Willie Cauley-Stein,SAC,157,-0.138398787701094,0.115396871273967,-0.0230019164271267
2585,Zaza Pachulia,DET,158,0.488262107399377,-0.513604346449504,-0.0253422390501269
201163,Wilson Chandler,PHI,159,-0.690683920765951,0.663091034754972,-0.0275928860109789
200746,LaMarcus Aldridge,SAS,160,0.33998663014862,-0.383856335826902,-0.0438697056782815
203079,Dion Waiters,MIA,161,0.78493122483119,-0.832111777968883,-0.0471805531376923
203210,JaMychal Green,MEM,162,0.511881109353996,-0.559979567986363,-0.0480984586323674
2747,JR Smith,"",163,0.126587061570177,-0.196331432212771,-0.0697443706425938
2564,Boris Diaw,"",164,-0.508175330964745,0.408557678599215,-0.0996176523655299
203512,Lucas Nogueira,"",165,1.54776451272323,-1.66007543933286,-0.112310926609626
202685,Jonas Valanciunas,TOR,166,-0.191577110286584,0.0708788312092842,-0.120698279077299
204456,T.J. McConnell,PHI,167,-0.14914032260738,0.0267539535755439,-0.122386369031836
101109,Raymond Felton,OKC,168,-0.191108776548383,0.0397493569155489,-0.151359419632834
203967,Dario Saric,MIN,169,-0.373744792896733,0.157501648559946,-0.216243144336787
203897,Zach LaVine,CHI,170,-1.26135465404002,1.04125721736219,-0.22009743667783
200771,Sergio Rodriguez,"",171,-0.0428184161822784,-0.206866190723407,-0.249684606905685
201949,James Johnson,MIA,172,0.650622297568134,-0.90768394752624,-0.257061649958107
203093,Terrence Jones,"",173,-0.386670093390289,0.11728520860159,-0.2693848847887
1626167,Myles Turner,IND,174,0.29173156164247,-0.568623612568409,-0.276892050925939
203507,Giannis Antetokounmpo,MIL,175,-0.296658827799684,0.0185620565847241,-0.27809677121496
101141,Ersan Ilyasova,MIL,176,0.445662414332739,-0.738070546994333,-0.292408132661594
203482,Kelly Olynyk,MIA,177,0.0204115374918933,-0.349791756694278,-0.329380219202385
202734,E'Twaun Moore,NOP,178,-0.543904117453821,0.156289092295887,-0.387615025157934
203124,Kyle O'Quinn,IND,179,-1.03505506544708,0.608505840255941,-0.42654922519114
203516,James Ennis III,HOU,180,0.225098864927125,-0.651965174954496,-0.426866310027371
1891,Jason Terry,"",181,0.401356437882112,-0.835924833325496,-0.434568395443384
203077,Michael Kidd-Gilchrist,CHA,182,-0.283469204950795,-0.176893915058728,-0.460363120009523
203141,Mirza Teletovic,"",183,-0.0889341555841622,-0.415448884923432,-0.504383040507594
201945,Gerald Henderson,"",184,-0.979241317001455,0.470852676791097,-0.508388640210358
203518,Alex Abrines,OKC,185,-1.8946343264398,1.38517572520884,-0.509458601230952
1626178,Rondae Hollis-Jefferson,BKN,186,-0.799902243700315,0.262678614638839,-0.537223629061476
202704,Reggie Jackson,DET,187,-1.72248295521444,1.183492035249,-0.538990919965449
203584,Troy Daniels,PHX,188,0.244080901457585,-0.78866427918742,-0.544583377729835
203935,Marcus Smart,BOS,189,-0.114826303343933,-0.4322193842551,-0.547045687599033
202323,Evan Turner,POR,190,-0.993767486381768,0.442777361037593,-0.550990125344175
1626144,Emmanuel Mudiay,NYK,191,-1.72135631547835,1.13989742066468,-0.581458894813669
201152,Thaddeus Young,IND,192,-0.226342546827031,-0.378143914327827,-0.604486461154858
203506,Victor Oladipo,IND,193,-0.987250244352949,0.347495425515719,-0.63975481883723
202688,Brandon Knight,HOU,194,-1.79747582838601,1.14488149300263,-0.652594335383373
2403,Nene,HOU,195,0.317855750617946,-0.993901681854287,-0.676045931236341
203095,Evan Fournier,ORL,196,-1.22356582750052,0.5234852673248,-0.700080560175718
201567,Kevin Love,CLE,197,0.119466765606749,-0.820494971048826,-0.701028205442077
2440,Matt Barnes,"",198,-0.0479829285413919,-0.682164659102386,-0.730147587643778
1627789,Timothe Luwawu-Cabarrot,OKC,199,0.388102163857399,-1.1191164169423,-0.731014253084903
201577,Robin Lopez,CHI,200,-1.43893022385061,0.706063325156082,-0.732866898694524
1626162,Kelly Oubre Jr.,WAS,201,-0.972164699114819,0.238258203258739,-0.73390649585608
203488,Mike Muscala,PHI,202,-1.45973229835873,0.716520298085706,-0.743212000273023
1626179,Terry Rozier,BOS,203,-0.42300118258387,-0.321502481696022,-0.744503664279892
