pts_home,pts_away,pts_total,pts_team1,pts_team2,pts1,pts2,is_off1,is_home1,rn,id_game,slug_team1,slug_team2,name_player1,slug_team_player1,play_type,description,pk,period,event_num,pc_time_string,player1_id,player1_id_team,id_team1,id_team2,lineup1,lineup2,half,location_game1,poss_num,mp
35,47,82,35,47,2,2,TRUE,TRUE,116790,21700523,MIA,BKN,Goran Dragic,MIA,FreeThrow,Dragic Free Throw 2 of 2 (8 PTS),0021700523_276,2,276,3:43,201609,1610612748,1610612748,1610612751,201609-203482-204020-1626196-1628389,201960-203112-203915-1626178-1627747,1,H,96,0.2
22,36,58,22,36,2,1,FALSE,TRUE,121237,21700543,SAC,MEM,James Ennis III,MEM,FreeThrow,Ennis III Free Throw Technical (3 PTS),0021700543_160,1,160,0:00,203516,1610612763,1610612758,1610612763,1713-1626161-1627741-1627746-1628412,201596-203210-203516-1627738-1627782,1,H,54,0.0166666666666667
63,42,105,63,42,2,2,FALSE,TRUE,148681,21700664,CLE,ORL,Aaron Gordon,ORL,Make,Gordon 1 Layup (5 PTS) (Simmons 1 AST),0021700664_300,2,300,2:11,203932,1610612753,1610612739,1610612753,2544-2747-201567-202738-203109,202687-203095-203613-203901-203932,1,H,109,0.166666666666667
25,37,62,25,37,2,2,TRUE,TRUE,177426,21700793,NOP,UTA,Darius Miller,NOP,Make,Miller 17 Jump Shot (2 PTS) (Clark 1 AST),0021700793_166,2,166,11:37,203121,1610612740,1610612740,1610612762,2731-201950-203121-203546-1627767,2207-202324-203526-203918-1626220,1,H,61,0.216666666666667
45,60,105,45,60,5,2,FALSE,TRUE,179643,21700803,GSW,OKC,Jerami Grant,OKC,FreeThrow,Grant Free Throw 2 of 2 (9 PTS),0021700803_297,2,297,4:37,203924,1610612760,1610612744,1610612760,201142-201156-201939-202691-203110,101109-201566-202335-203924-203962,1,H,103,0.0166666666666667
46,60,,46,60,1,1,TRUE,TRUE,179648,21700803,GSW,OKC,Kevin Durant,GSW,FreeThrow,MISS Durant Free Throw 2 of 2,0021700803_302,2,302,3:39,201142,1610612744,1610612744,1610612760,201142-201156-201939-202691-203110,201566-202331-202335-203924-203962,1,H,108,0.0666666666666667
27,16,43,27,16,3,3,FALSE,TRUE,182096,21700814,POR,CHA,Dwight Howard,CHA,FreeThrow,Howard Free Throw 1 of 1 (3 PTS),0021700814_126,1,126,2:12,2730,1610612766,1610612757,1610612766,202323-202334-203081-1626192-1628380,2730-201587-203087-203487-1626163,1,H,44,0
29,16,45,29,16,2,1,TRUE,TRUE,182102,21700814,POR,CHA,Pat Connaughton,POR,Make,Connaughton 15 Step Back Jump Shot (2 PTS),0021700814_127,1,127,1:01,1626192,1610612757,1610612757,1610612766,202323-202334-203081-1626192-1628380,2730-201587-203087-203487-1626163,1,H,50,0.233333333333333
91,96,187,91,96,2,2,TRUE,TRUE,186762,21700834,ATL,DET,Kent Bazemore,ATL,FreeThrow,Bazemore Free Throw 2 of 2 (10 PTS),0021700834_601,4,601,7:44,203145,1610612737,1610612737,1610612765,203145-203473-203488-1627098-1627819,2749-201229-203083-1626169-1628379,2,H,189,0.216666666666667
30,38,68,38,30,3,2,TRUE,FALSE,193619,21700865,DEN,MIL,Wilson Chandler,DEN,Make,Chandler 24 3PT Jump Shot (3 PTS) (Harris 1 AST),0021700865_178,2,178,11:25,201163,1610612743,1610612743,1610612749,2734-201163-201589-1626168-1627736,1891-203092-203507-203953-1628425,1,A,61,0.333333333333333
32,38,70,38,32,3,2,FALSE,FALSE,193622,21700865,DEN,MIL,Giannis Antetokounmpo,MIL,FreeThrow,Antetokounmpo Free Throw 2 of 2 (5 PTS),0021700865_164,2,164,10:38,203507,1610612749,1610612743,1610612749,2734-201163-201589-1626168-1627736,1891-203092-203507-203953-1628425,1,A,64,0.233333333333333
50,64,114,50,64,3,2,TRUE,TRUE,195945,21700875,WAS,CHA,Otto Porter Jr.,WAS,Make,Porter Jr. 25 3PT Jump Shot (9 PTS) (Beal 3 AST),0021700875_294,2,294,0:49,203490,1610612764,1610612764,1610612766,101162-203078-203107-203490-1626162,2730-101107-201587-202689-203077,1,H,107,0.133333333333333
22,29,51,22,29,1,2,FALSE,TRUE,202171,21700902,NOP,PHX,Josh Jackson,PHX,FreeThrow,Jackson Free Throw 2 of 2 (2 PTS),0021700902_138,1,138,2:32,1628367,1610612756,1610612740,1610612756,202703-202732-203121-203546-1627215,203584-1626164-1627733-1627737-1628367,1,H,50,0.266666666666667
123,120,,120,123,1,1,TRUE,FALSE,210796,21700939,BOS,HOU,Kyrie Irving,BOS,FreeThrow,MISS Irving Free Throw 2 of 2,0021700939_663,4,663,0:02,202681,1610612738,1610612738,1610612745,201143-202328-202681-203935-1626179,2772-101108-200782-201935-203991,2,A,231,0.0333333333333333
48,52,,48,52,9,3,TRUE,TRUE,222579,21700992,NYK,TOR,Isaiah Hicks,NYK,FreeThrow,MISS Hicks Free Throw 1 of 2,0021700992_230,2,230,5:53,1628439,1610612752,1610612752,1610612761,203501-203504-1626144-1628436-1628439,200768-201586-1626153-1627751-1627832,1,H,90,0.166666666666667
48,55,103,48,55,1,3,FALSE,TRUE,222597,21700992,NYK,TOR,Malcolm Miller,TOR,Make,Miller 25 3PT Jump Shot (3 PTS) (Valanciunas 2 AST),0021700992_278,2,278,2:39,1626259,1610612761,1610612752,1610612761,201563-203501-1626144-1628373-1628436,200768-201586-201942-202685-1626259,1,H,108,0.133333333333333
27,35,62,35,27,2,2,FALSE,FALSE,231041,21701029,BOS,ORL,D.J. Augustin,ORL,FreeThrow,Augustin Free Throw 2 of 2 (7 PTS),0021701029_247,2,247,4:58,201571,1610612753,1610612738,1610612753,201143-203382-203499-1626179-1628369,201571-202687-203920-1626209-1628681,1,A,88,0.366666666666667
27,38,65,38,27,3,2,TRUE,FALSE,231044,21701029,BOS,ORL,Shane Larkin,BOS,Make,Larkin 25 3PT Jump Shot (10 PTS) (Horford 1 AST),0021701029_250,2,250,4:20,203499,1610612738,1610612738,1610612753,201143-203382-203499-1626179-1628369,201571-202687-203920-1626209-1628681,1,A,91,0.2
120,116,236,116,120,1,2,FALSE,FALSE,231405,21701030,BKN,PHI,Joel Embiid,PHI,FreeThrow,Embiid Free Throw 2 of 2 (24 PTS),0021701030_731,4,731,0:05,203954,1610612755,1610612751,1610612755,201960-203112-203915-203925-1626156,200755-203496-203954-204456-1627732,2,A,228,0.1
81,70,151,70,81,1,2,FALSE,FALSE,233578,21701040,DEN,MEM,Tyreke Evans,MEM,FreeThrow,Evans Free Throw 2 of 2 (13 PTS),0021701040_508,3,508,0:45,201936,1610612763,1610612743,1610612763,2734-203486-1626168-1627750-1628470,201936-1627362-1627738-1627782-1628415,2,A,163,0.0833333333333333
91,74,165,74,91,2,1,TRUE,FALSE,252455,21701125,CHI,MIA,Sean Kilpatrick,CHI,Make,Kilpatrick 4 Layup (4 PTS) (Arcidiacono 2 AST),0021701125_577,4,577,7:36,203930,1610612741,1610612741,1610612748,203930-203943-1626171-1627756-1627853,2548-201961-1626159-1626196-1628389,2,A,201,0.0166666666666667
