game_id,period,min_poss,pts,poss_num,id,side,xid,dummy
21700002,4,0.16666666666666652,1,388,1626172,o,o1626172,1
21700002,4,0.3500000000000001,3,389,1626172,d,d1626172,1
21700002,4,0.43333333333333335,2,390,1626172,o,o1626172,1
21700002,4,0.18333333333333313,2,391,1627775,d,d1627775,1
21700002,4,0.3500000000000001,0,392,1627775,o,o1627775,1
21700002,4,0.45000000000000007,2,393,1627775,d,d1627775,1
21700002,4,0.19999999999999996,0,394,1627775,o,o1627775,1
21700002,4,0.3666666666666667,0,395,1627775,d,d1627775,1
21700002,4,0.16666666666666666,0,396,1627775,o,o1627775,1
21700002,1,0.21666666666666679,2,196,201939,d,d0201939,1
21700002,1,0.40000000000000036,0,197,201939,o,o0201939,1
21700002,1,0.2833333333333332,0,198,201939,d,d0201939,1
21700002,1,0.01666666666666572,2,199,201939,o,o0201939,1
21700002,1,0.033333333333333215,0,200,201939,d,d0201939,1
21700002,1,0.36666666666666714,0,201,201939,o,o0201939,1
21700002,1,0.13333333333333286,0,202,201939,d,d0201939,1
21700002,1,0.05000000000000071,3,203,201939,o,o0201939,1
21700002,1,0.2333333333333325,3,204,201939,d,d0201939,1
21700002,1,0.18333333333333357,2,205,201939,o,o0201939,1
21700002,1,0.3000000000000007,0,206,201939,d,d0201939,1
21700002,1,0,2,207,201939,o,o0201939,1
21700002,1,0.38333333333333286,0,208,201939,d,d0201939,1
21700002,1,0,0,209,201939,o,o0201939,1
21700002,1,0.36666666666666714,0,210,201939,d,d0201939,1
21700002,1,0.033333333333333215,3,211,201939,o,o0201939,1
21700002,1,0.3333333333333339,0,212,201939,d,d0201939,1
21700002,1,0.2666666666666657,0,213,201939,o,o0201939,1
21700002,1,0.08333333333333393,2,214,201939,d,d0201939,1
21700002,1,0.16666666666666607,3,215,201939,o,o0201939,1
21700002,1,0.15000000000000036,2,216,201939,d,d0201939,1
21700002,1,0.18333333333333357,2,217,201142,o,o0201142,1
21700002,1,0.13333333333333286,0,218,201142,d,d0201142,1
