rank,name,position,slug_espn,gp,mpg,orpm,drpm,rpm,wins
1,LeBron James,SF,CLE,76,35.6,6.49,3.3,9.79,21.55
2,Draymond Green,PF,GS,81,34.7,3.93,5.04,8.97,22.66
3,Chris Paul,PG,LAC,74,32.7,6.15,2.44,8.59,18.12
4,Stephen Curry,PG,GS,79,34.2,7.65,0.86,8.51,21.1
5,Kawhi Leonard,SF,SA,72,33.1,4.19,3.88,8.07,16.74
6,Russell Westbrook,PG,OKC,80,34.4,7.25,0.6,7.85,19.53
7,Kyle Lowry,PG,TOR,77,37,5.12,1.7,6.82,17.34
8,Kevin Durant,SF,OKC,72,35.8,5.51,0.97,6.48,16
9,Nikola Jokic,C,DEN,80,21.7,2.42,3.61,6.03,9.88
10,Kevin Love,PF,CLE,77,31.5,3.17,2.14,5.31,12.52
11,Paul Millsap,PF,ATL,81,32.7,1.98,3.26,5.24,14.05
12,Tim Duncan,C,SA,61,25.2,-0.48,5.43,4.95,7.69
13,Paul George,SF,IND,81,34.8,3.35,1.58,4.93,14.66
14,DeMarcus Cousins,C,SAC,65,34.6,1.58,3.25,4.83,12.03
15,DeAndre Jordan,C,LAC,77,33.7,0.35,4.07,4.42,12.47
16,James Harden,PG,HOU,82,38.1,5.37,-0.98,4.39,15.07
17,Ricky Rubio,PG,MIN,76,30.6,2.25,1.89,4.14,10.72
18,Jimmy Butler,SG,CHI,67,36.9,3.12,0.89,4.01,11.06
19,Manu Ginobili,G,SA,58,19.6,2,1.91,3.91,5.12
20,Khris Middleton,SF,MIL,79,36.1,3.13,0.63,3.76,12.27
21,Cole Aldrich,C,LAC,60,13.3,-0.72,4.46,3.74,3.42
22,Pau Gasol,C,CHI,72,31.8,0.65,3.07,3.72,9.96
23,Channing Frye,F,CLE/ORL,70,17.1,1.43,2.25,3.68,5.01
24,Danny Green,SG,SA,79,26.1,0.32,2.93,3.25,8.18
25,Andrew Bogut,C,GS,70,20.7,-2.24,5.45,3.21,6.03
26,Jae Crowder,PF,BOS,73,31.6,1.21,1.79,3,9.28
27,Al Horford,C,ATL,82,32.1,0.89,2.08,2.97,10.09
28,Andre Drummond,C,DET,81,32.9,-0.19,3.16,2.97,10.2
29,Amir Johnson,C,BOS,79,22.8,0.12,2.83,2.95,7.11
30,Gordon Hayward,SF,UTAH,80,36.2,2.92,-0.02,2.9,10.5
31,Mike Conley,PG,MEM,56,31.4,2.78,0.08,2.86,6.36
32,Kelly Olynyk,PF,BOS,69,20.2,0.69,2.13,2.82,5.44
33,Jared Sullinger,C,BOS,81,23.6,0.27,2.48,2.75,7.29
34,John Wall,PG,WSH,77,36.2,2.6,0.12,2.72,10.62
35,Dirk Nowitzki,PF,DAL,75,31.5,2.14,0.56,2.7,8.36
36,Marvin Williams,PF,CHA,81,28.9,2.08,0.59,2.67,8.51
37,Brook Lopez,C,BKN,73,33.7,0.47,2.18,2.65,9
38,Ed Davis,PF,POR,81,20.8,-0.02,2.62,2.6,6.05
39,Boban Marjanovic,C,SA,54,9.4,1.75,0.85,2.6,1.77
40,Victor Oladipo,SG,ORL,72,33,1.8,0.79,2.59,8.65
41,Kemba Walker,PG,CHA,81,35.6,2.93,-0.35,2.58,10.38
42,Gorgui Dieng,C,MIN,82,27.1,0.03,2.54,2.57,7.98
43,Kristaps Porzingis,PF,NY,72,28.4,0.24,2.26,2.5,7.09
44,Mason Plumlee,PF,POR,82,25.4,0.32,2.11,2.43,7.45
45,Patrick Beverley,PG,HOU,71,28.7,1.37,1.01,2.38,7.15
46,Nene Hilario,C,WSH,57,19.2,-0.65,3.02,2.37,3.92
47,Steven Adams,C,OKC,80,25.2,-0.42,2.77,2.35,7.05
48,Rudy Gobert,C,UTAH,61,31.7,-1.55,3.89,2.34,6.29
49,Kevin Garnett,PF,MIN,38,14.6,-1.88,4.18,2.3,1.9
50,CJ McCollum,SG,POR,80,34.8,2.2,0.05,2.25,9.54
51,Carmelo Anthony,PF,NY,72,35.1,2.97,-0.73,2.24,8.4
52,David West,F,SA,78,18,-0.69,2.9,2.21,4.67
53,LaMarcus Aldridge,PF,SA,74,30.6,0.66,1.49,2.15,7.46
54,Goran Dragic,PG,MIA,72,32.8,1.42,0.7,2.12,7.73
55,Blake Griffin,PF,LAC,35,33.4,0.74,1.33,2.07,3.91
56,Chris Bosh,PF,MIA,53,33.5,0.87,1.19,2.06,5.63
57,Clint Capela,C,HOU,77,19.1,-0.68,2.74,2.06,4.92
58,Ian Mahinmi,C,IND,71,25.6,-2.33,4.37,2.04,6.09
59,Patrick Patterson,PF,TOR,79,25.6,2.19,-0.16,2.03,6.24
60,Cody Zeller,C,CHA,73,24.3,-0.31,2.26,1.95,5.69
61,Anthony Davis,PF,NO,61,35.5,0.1,1.82,1.92,7.03
62,Luol Deng,SF,MIA,74,32.4,1.2,0.69,1.89,7.52
63,Jared Dudley,SF,WSH,81,25.9,1.09,0.78,1.87,6.82
64,Marcin Gortat,C,WSH,75,30.1,-0.83,2.65,1.82,7.26
65,Klay Thompson,SG,GS,80,33.3,2.38,-0.61,1.77,8.7
66,Al-Farouq Aminu,PF,POR,82,28.5,0.11,1.62,1.73,7.34
67,Danilo Gallinari,SF,DEN,53,34.7,1.88,-0.16,1.72,5.64
68,Eric Bledsoe,PG,PHX,31,34.2,1.31,0.39,1.7,3.32
69,Kyle Korver,SG,ATL,80,30,-0.13,1.82,1.69,7.31
70,Andre Iguodala,SG,GS,65,26.6,1.08,0.61,1.69,5.44
71,Derrick Favors,PF,UTAH,62,32,-0.13,1.8,1.67,5.71
72,Patty Mills,PG,SA,81,20.5,2.01,-0.36,1.65,5.05
73,Jrue Holiday,PG,NO,65,28.2,2.57,-0.94,1.63,5.62
74,Nikola Mirotic,PF,CHI,66,24.9,0.88,0.73,1.61,4.99
75,Robert Covington,SF,PHI,67,28.4,-0.49,2.09,1.6,5.84
76,Zaza Pachulia,C,DAL,76,26.4,-1.04,2.59,1.55,5.68
77,Trevor Booker,F,UTAH,79,20.7,-0.82,2.37,1.55,4.59
