mode_search,id_team,name_team,city_team,team_name,slug_season,gp,wins,losses,pct_wins,rank_conference,rank_division,count_wins_playoffs,count_losses_playoffs,count_conference_titles,count_division_titles,description_nba_finals_appearance,fgm,fga,pct_fg,fg3m,fg3a,pct_fg3,ftm,fta,pct_ft,oreb,dreb,treb,ast,pf,stl,tov,blk,pts,pts_rank,is_conference_champion,is_nba_champion
Totals,1610612746,Los Angeles Clippers,Los Angeles,Clippers,2015,82,56,26,0.683,3,2,7,7,15,5,,3228,6830,0.473,827,2202,0.376,1468,2067,0.71,784,2711,3495,2031,1749,640,1012,409,8751,2,FALSE,
Totals,1610612754,Indiana Pacers,Indiana,Pacers,2015,82,38,44,0.463,9,4,0,0,15,5,,2998,6824,0.439,612,1740,0.352,1373,1817,0.756,856,2822,3678,1757,1742,505,1147,375,7981,24,FALSE,
Totals,1610612745,Houston Rockets,Houston,Rockets,2015,82,56,26,0.683,2,1,9,8,15,5,,3032,6832,0.444,933,2680,0.348,1525,2133,0.715,958,2624,3582,1820,1803,777,1366,407,8522,6,FALSE,
Totals,1610612744,Golden State Warriors,Golden State,Warriors,2015,82,67,15,0.817,1,1,16,5,15,5,NBA Champion,3410,7137,0.478,883,2217,0.398,1313,1709,0.768,853,2814,3667,2248,1628,762,1185,496,9016,1,TRUE,TRUE
Totals,1610612765,Detroit Pistons,Detroit,Pistons,2015,82,32,50,0.39,12,5,0,0,15,5,,3041,7038,0.432,703,2043,0.344,1292,1838,0.703,1051,2630,3681,1771,1559,623,1099,383,8077,18,FALSE,
Totals,1610612743,Denver Nuggets,Denver,Nuggets,2015,82,30,52,0.366,12,4,0,0,15,5,,3099,7158,0.433,660,2032,0.325,1462,1991,0.734,1012,2653,3665,1788,1882,641,1166,367,8320,12,FALSE,
Totals,1610612742,Dallas Mavericks,Dallas,Mavericks,2015,82,50,32,0.61,7,4,1,4,15,5,,3255,7036,0.463,732,2082,0.352,1386,1843,0.752,858,2608,3466,1846,1644,663,1062,371,8628,3,FALSE,
Totals,1610612739,Cleveland Cavaliers,Cleveland,Cavaliers,2015,82,53,29,0.646,2,1,14,6,15,5,,3089,6739,0.458,826,2253,0.367,1453,1934,0.751,911,2612,3523,1814,1510,603,1171,340,8457,8,FALSE,
Totals,1610612741,Chicago Bulls,Chicago,Bulls,2015,82,50,32,0.61,3,2,6,6,15,5,,3001,6797,0.442,645,1825,0.353,1618,2067,0.783,959,2792,3751,1781,1495,514,1145,476,8265,15,FALSE,
Totals,1610612766,Charlotte Hornets,Charlotte,Hornets,2015,82,33,49,0.402,11,4,0,0,15,5,,2913,6932,0.42,498,1566,0.318,1397,1867,0.748,820,2793,3613,1654,1494,499,976,448,7721,28,FALSE,
Totals,1610612751,Brooklyn Nets,Brooklyn,Nets,2015,82,38,44,0.463,8,3,2,4,15,5,,3069,6804,0.451,541,1633,0.331,1359,1817,0.748,846,2627,3473,1716,1579,576,1133,340,8038,21,FALSE,
Totals,1610612738,Boston Celtics,Boston,Celtics,2015,82,40,42,0.488,7,2,0,4,15,5,,3193,7211,0.443,660,2021,0.327,1266,1678,0.754,910,2685,3595,2009,1738,674,1133,294,8312,13,FALSE,
Totals,1610612737,Atlanta Hawks,Atlanta,Hawks,2015,82,60,22,0.732,1,1,8,8,15,5,,3121,6699,0.466,818,2152,0.38,1349,1735,0.778,715,2611,3326,2111,1457,744,1167,380,8409,10,FALSE,
