rank,name,slug,poss,orapm,drapm,rapm
558,Shelvin Mack,UTA,4992,-1.565,-0.6753,-2.2403
559,Rajon Rondo,CHI,7882,-0.7261,-1.5144,-2.2406
560,Bryn Forbes,SAS,1205,-1.8536,-0.3896,-2.2432
561,Will Barton,DEN,7510,-0.7964,-1.4487,-2.2451
562,Nicolas Brussino,DAL,2187,-0.4501,-1.7977,-2.2478
563,Tyreke Evans,NOP,2079,-1.4259,-0.8221,-2.248
564,Raymond Felton,LAC,7341,-1.0369,-1.2225,-2.2594
565,Pascal Siakam,TOR,3650,-1.3527,-0.9191,-2.2718
566,Mike Muscala,ATL,5411,-0.8221,-1.5276,-2.3497
567,Emmanuel Mudiay,DEN,6328,-1.0657,-1.3141,-2.3798
568,Kenneth Faried,DEN,5766,-0.4363,-1.9482,-2.3845
569,Joffrey Lauvergne,OKC,3248,-1.2476,-1.1589,-2.4065
570,Bismack Biyombo,ORL,7648,-1.7691,-0.6391,-2.4082
571,Anthony Bennett,BRK,1234,-0.0752,-2.3489,-2.4242
572,Kyle Korver,TOT,7685,-0.5599,-1.8706,-2.4305
573,Omri Casspi,MIN,961,-0.1207,-2.3794,-2.5001
574,Semaj Christon,OKC,4192,-1.2467,-1.2973,-2.5441
575,Joe Young,IND,594,-1.6804,-0.8879,-2.5683
576,Isaiah Canaan,CHI,2497,-1.6901,-0.9416,-2.6316
577,James Jones,CLE,1640,-1.5288,-1.1102,-2.639
578,Jose Calderon,LAL,1257,-1.5202,-1.2465,-2.7667
579,James Michael McAdoo,GSW,2006,-2.4328,-0.3376,-2.7704
580,Brandon Bass,LAC,2451,-0.23,-2.6778,-2.9077
581,Alex Len,PHO,7122,-2.7661,-0.1951,-2.9612
582,Dwight Powell,DAL,5501,-0.5181,-2.4531,-2.9712
583,Kyle Korver,CLE,3744,-0.2027,-2.7765,-2.9793
584,Marcus Thornton,WAS,2486,-0.7177,-2.3255,-3.0432
585,Reggie Jackson,DET,6035,-0.5851,-2.4704,-3.0555
586,Jusuf Nurkic,DEN,3610,-3.4154,0.2749,-3.1405
587,Jordan Clarkson,LAL,10689,-1.0054,-2.1503,-3.1557
588,Jerami Grant,TOT,6879,-2.3497,-1.0345,-3.3842
589,Jerami Grant,OKC,6690,-2.4015,-1.0677,-3.4692
590,Wade Baldwin,MEM,1755,-2.7691,-0.7494,-3.5185
591,Buddy Hield,NOP,5076,-1.5731,-2.0012,-3.5743
592,Donatas Motiejunas,NOP,2120,-0.7841,-2.8812,-3.6653
593,D.J. Augustin,ORL,6606,-3.3341,-0.9778,-4.3119
594,Patrick McCaw,GSW,4843,-3.329,-1.0763,-4.4054
595,Jahlil Okafor,PHI,4924,-2.6217,-1.788,-4.4098
