slug_season,name_player,group_position,year_season,id_position,slug_player_bref,id_player_nba,name_player_bref,url_player_thumbnail,url_player_headshot,year_season_first,id_player_season,age_player,slug_team_bref,count_games,is_hof_player,minutes,ratio_per,pct_true_shooting,pct3p_rate,pct_ft_rate,pct_orb,pct_drb,pct_trb,pct_ast,pct_stl,pct_blk,pct_tov,pct_usg,ratio_ows,ratio_dws,ratio_ws,ratio_ws_per48,ratio_obpm,ratio_dbpm,ratio_bpm,ratio_vorp,count_games_started,pct_fg,pct_fg3,pct_fg2,pct_efg,pct_ft,minutes_totals,fgm_totals,fga_totals,fg3m_totals,fg3a_totals,fg2m_totals,fg2a_totals,ftm_totals,fta_totals,orb_totals,drb_totals,trb_totals,ast_totals,stl_totals,blk_totals,tov_totals,pf_totals,pts_totals,url_player_bref
2015-16,Evan Fournier,F,2016,SF,fournev01,203095,Evan Fournier,https://stats.nba.com/media/players/230x185/203095.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203095.png,2012,fournev01_2016,23,ORL,79,FALSE,2566,14.6,0.587,0.42,0.256,0.014,0.084,0.049,0.128,0.019,0.1,0.114,0.201,4,1.7,5.7,0.106,2.1,-1.5,0.7,1.7,71,0.462,0.4,0.506,0.546,0.836,2566,429,929,156,390,273,539,199,238,33,192,225,213,96,2,133,214,1213,http://www.basketball-reference.com/players/f/fournev01.html
2015-16,Evan Turner,G,2016,SG,turneev01,202323,Evan Turner,https://stats.nba.com/media/players/230x185/202323.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202323.png,2010,turneev01_2016,27,BOS,81,FALSE,2271,13.6,0.513,0.11,0.238,0.023,0.165,0.093,0.239,0.017,0.01,0.169,0.188,1,3,4,0.085,-1.9,1.3,-0.7,0.8,12,0.456,0.241,0.482,0.469,0.827,2271,343,753,20,83,323,670,148,179,50,347,397,359,80,28,169,139,854,http://www.basketball-reference.com/players/t/turneev01.html
2015-16,Festus Ezeli,C,2016,C,ezelife01,203105,Festus Ezeli,https://stats.nba.com/media/players/230x185/203105.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203105.png,2012,ezelife01_2016,26,GSW,46,FALSE,770,17.7,0.559,0,0.579,0.135,0.219,0.18,0.058,0.011,0.048,0.117,0.182,1.4,1.3,2.7,0.171,-1.5,1.4,-0.1,0.4,13,0.548,,0.548,0.548,0.53,770,125,228,0,0,125,228,70,132,91,166,257,32,18,50,38,94,320,http://www.basketball-reference.com/players/e/ezelife01.html
2015-16,Frank Kaminsky,C,2016,C,kaminfr01,1626163,Frank Kaminsky,https://stats.nba.com/media/players/230x185/1626163.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626163.png,2015,kaminfr01_2016,22,CHO,81,FALSE,1708,12.5,0.513,0.385,0.282,0.044,0.172,0.107,0.09,0.011,0.02,0.089,0.171,1.2,2.1,3.3,0.093,-1.6,0.4,-1.2,0.3,3,0.41,0.337,0.455,0.474,0.73,1708,215,525,68,202,147,323,108,148,69,266,335,98,38,43,58,126,606,http://www.basketball-reference.com/players/k/kaminfr01.html
2015-16,Garrett Temple,F,2016,SF,templga01,202066,Garrett Temple,https://stats.nba.com/media/players/230x185/202066.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202066.png,2009,templga01_2016,29,WAS,80,FALSE,1951,9.3,0.52,0.511,0.248,0.02,0.103,0.061,0.1,0.017,0.7,0.103,0.14,1,1.7,2.7,0.066,-1,0.1,-1,0.5,43,0.398,0.345,0.453,0.486,0.728,1951,201,505,89,258,112,247,91,125,36,176,212,140,69,18,64,195,582,http://www.basketball-reference.com/players/t/templga01.html
2015-16,Gary Harris,G,2016,SG,harriga01,203914,Gary Harris,https://stats.nba.com/media/players/230x185/203914.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203914.png,2014,harriga01_2016,21,DEN,76,FALSE,2439,12.7,0.566,0.388,0.174,0.024,0.077,0.05,0.095,0.02,0.6,0.106,0.165,2.8,1.2,4,0.079,0.9,-0.7,0.2,1.3,76,0.469,0.354,0.543,0.538,0.82,2439,359,765,105,297,254,468,109,133,54,166,220,147,97,18,98,143,932,http://www.basketball-reference.com/players/h/harriga01.html
2015-16,Gary Neal,G,2016,SG,nealga01,202390,Gary Neal,https://stats.nba.com/media/players/230x185/202390.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202390.png,2010,nealga01_2016,31,WAS,40,FALSE,807,13.5,0.558,0.308,0.169,0.015,0.102,0.058,0.092,0.012,0.1,0.077,0.205,0.9,0.5,1.4,0.085,-0.5,-2.3,-2.8,-0.2,2,0.465,0.41,0.489,0.528,0.855,807,151,325,41,100,110,225,47,55,11,72,83,47,20,1,29,55,390,http://www.basketball-reference.com/players/n/nealga01.html
2015-16,George Hill,G,2016,PG,hillge01,201588,George Hill,https://stats.nba.com/media/players/230x185/201588.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201588.png,2008,hillge01_2016,29,IND,74,FALSE,2524,13.2,0.555,0.425,0.203,0.025,0.103,0.065,0.155,0.016,0.5,0.111,0.158,3.4,2.8,6.2,0.118,1.1,0.5,1.5,2.2,73,0.441,0.408,0.466,0.528,0.76,2524,326,739,128,314,198,425,114,150,58,240,298,259,83,17,101,149,894,http://www.basketball-reference.com/players/h/hillge01.html
2015-16,Gerald Green,G,2016,SG,greenge01,101123,Gerald Green,https://stats.nba.com/media/players/230x185/101123.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/101123.png,2005,greenge01_2016,30,MIA,69,FALSE,1557,10.1,0.491,0.443,0.157,0.019,0.097,0.059,0.056,0.013,0.9,0.068,0.198,0.3,1.4,1.7,0.052,-1.2,-1.8,-3,-0.4,14,0.392,0.323,0.446,0.463,0.783,1557,230,587,84,260,146,327,72,92,25,138,163,56,38,19,46,123,616,http://www.basketball-reference.com/players/g/greenge01.html
2015-16,Gerald Henderson,G,2016,SG,hendege02,201945,Gerald Henderson,https://stats.nba.com/media/players/230x185/201945.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201945.png,2009,hendege02_2016,28,POR,72,FALSE,1431,12.9,0.526,0.257,0.276,0.023,0.137,0.08,0.082,0.014,0.01,0.103,0.202,1,1,2,0.068,-1.9,-1.4,-3.3,-0.5,0,0.439,0.353,0.468,0.484,0.767,1431,232,529,48,136,184,393,112,146,30,181,211,75,39,19,68,87,624,http://www.basketball-reference.com/players/h/hendege02.html
