name,id,orapm,drapm,rapm,orapm_rnk,drapm_rnk,rapm_rnk,gp_total,poss_o,poss_d,poss_total,mp_o,mp_d,mp_total,pts_o,pts_d,pm,pts_o_per100,pts_o_per36
Marcus Thornton,201977,4.18452432900264,-1.76473629022254,2.41978803878009,5,425,29,33,1111,1143,2254,281.116666666667,292.266666666667,573.383333333333,1356,1212,144,60.1597160603372,85.1367613289539
Chasson Randle,1626184,1.1930682834679,1.21738298632292,2.41045126979083,49,56,30,26,583,605,1188,147.983333333333,149.45,297.433333333333,652,680,-28,54.8821548821549,78.9151630617505
Kevin Durant,201142,1.96337729545033,0.408661520508757,2.37203881595909,21,154,31,62,4187,4245,8432,982.85,1061,2043.85,5057,4691,366,59.9739089184061,89.0730728771681
JaVale McGee,201580,3.67209703337787,-1.36807312004621,2.30402391333166,7,398,32,77,1587,1568,3155,359.816666666667,381.666666666667,741.483333333333,1979,1669,310,62.7258320126783,96.0830767155926
Briante Weber,1627362,3.44698618939043,-1.14495895360201,2.30202723578842,9,385,33,20,365,386,751,93.3833333333333,110.683333333333,204.066666666667,437,418,19,58.1890812250333,77.0924534465861
Mike Miller,2034,0.339640646188504,1.9347971851343,2.2744378313228,145,29,34,19,292,304,596,68.7,80.8,149.5,332,357,-25,55.7046979865772,79.9464882943144
Tyus Jones,1626145,2.25637753994164,-0.0122098228002731,2.24416771714137,19,223,35,59,1527,1493,3020,385.283333333333,383.85,769.133333333333,1802,1651,151,59.6688741721854,84.3442836092572
Archie Goodwin,203462,3.66818727582647,-1.47960771770863,2.18857955811784,8,409,36,15,421,425,846,107.283333333333,106.666666666667,213.95,504,448,56,59.5744680851064,84.8048609488198
Shawn Long,1627848,0.634358327709688,1.54833709618008,2.18269542388977,107,42,37,17,479,493,972,120.233333333333,115.183333333333,235.416666666667,539,564,-25,55.4526748971194,82.4240707964602
LeBron James,2544,1.75389512034079,0.296279323644282,2.05017444398507,25,170,38,74,5473,5534,11007,1371.65,1380.11666666667,2751.76666666667,6467,6190,277,58.7535204869629,84.6045570724262
Montrezl Harrell,1626149,0.860780054255661,1.18933804099965,2.05011809525531,81,59,39,58,2160,2150,4310,522.75,528.866666666667,1051.61666666667,2529,2486,43,58.677494199536,86.5752729923768
Nikola Jokic,203999,1.56478632161391,0.438456279019369,2.00324260063328,31,148,40,73,4120,4113,8233,986.95,1016.76666666667,2003.71666666667,4835,4717,118,58.7270739706061,86.8685692421583
Joe Ingles,204060,0.183368882897843,1.79520625862957,1.97857514152742,173,32,41,82,3671,3676,7347,952.533333333333,1008.16666666667,1960.7,4053,4245,-192,55.1653736218865,74.4162799000357
Richaun Holmes,1626158,1.23633637437904,0.719264795637423,1.95560117001646,46,110,42,57,2375,2331,4706,602.15,576.966666666667,1179.11666666667,2701,2606,95,57.3948151296218,82.4651221959942
Terrence Ross,203082,-0.00718037320114231,1.88288021254661,1.87569983934547,202,30,43,78,3904,3940,7844,958.4,987.55,1945.95,4364,4522,-158,55.6348801631821,80.7338318045171
Trevor Ariza,2772,0.954315094596387,0.917849377091962,1.87216447168835,73,88,44,80,5659,5572,11231,1362.86666666667,1377.93333333333,2740.8,6667,6397,270,59.3624788531743,87.5700525394045
Ryan Anderson,201583,1.02822616086711,0.812837215736005,1.84106337660311,63,100,45,72,4211,4203,8414,1027.78333333333,1051.2,2078.98333333333,4964,4817,147,58.9969099120514,85.9573990492148
Andrew Wiggins,203952,0.852915541247719,0.979310964157587,1.83222650540531,83,75,46,82,5984,5972,11956,1486.23333333333,1540.08333333333,3026.31666666667,6909,6782,127,57.7868852459016,82.1870370472356
Karl-Anthony Towns,1626157,0.765035254231802,1.05412571529342,1.81916096952522,91,67,47,82,5880,5909,11789,1466.35,1519.71666666667,2986.06666666667,6789,6717,72,57.5875816439053,81.8481391350941
Blake Griffin,201933,1.44344117429932,0.357063923917001,1.80050509821632,37,162,48,61,4056,4100,8156,1012.45,1036.4,2048.85,4809,4536,273,58.9627268268759,84.4981330990556
Cheick Diallo,1627767,-0.759395555839019,2.51600581903867,1.75661026319965,327,20,49,16,392,380,772,97.3333333333333,93.9333333333333,191.266666666667,426,461,-35,55.1813471502591,80.1812478215406
DeMarcus Cousins,202326,0.88232313265824,0.860085691168955,1.74240882382719,78,93,50,72,4694,4682,9376,1192.35,1238.11666666667,2430.46666666667,5392,5298,94,57.5085324232082,79.8661436761116
Marco Belinelli,201158,0.888560085871691,0.852865712403694,1.74142579827539,77,95,51,74,3441,3473,6914,864.783333333333,916.433333333333,1781.21666666667,3898,3919,-21,56.3783627422621,78.7821058639694
Khris Middleton,203114,1.61979194500454,0.117550610207865,1.7373425552124,29,201,52,29,1614,1659,3273,431.483333333333,445.833333333333,877.316666666667,1910,1845,65,58.3562480904369,78.3753490757803
Omri Casspi,201956,0.874457287044352,0.846904789797774,1.72136207684213,80,96,53,36,1212,1246,2458,316.25,324.75,641,1401,1420,-19,56.9975589910496,78.6833073322933
James Jones,2592,-1.48505496427084,3.20588782323604,1.7208328589652,387,13,54,48,689,749,1438,187.25,188.433333333333,375.683333333333,749,886,-137,52.086230876217,71.7732132558449
John Wall,202322,0.238195735659027,1.47703166804139,1.71522740370042,163,43,55,78,5625,5715,11340,1406.75,1393.95,2800.7,6358,6650,-292,56.0670194003527,81.7252829649731
Norman Powell,1626181,0.552509608818352,1.16124636828,1.71375597709835,115,60,56,76,2641,2658,5299,660.783333333333,698.383333333333,1359.16666666667,2953,3033,-80,55.7274957539158,78.2155732679338
Alex Abrines,203518,0.745853474791944,0.956370589459273,1.70222406425122,93,77,57,68,2125,2160,4285,526.916666666667,527.116666666667,1054.03333333333,2376,2432,-56,55.4492415402567,81.1511337402359
Eric Bledsoe,202339,1.56558188584739,0.126942159792789,1.69252404564018,30,200,58,66,4396,4458,8854,1080.11666666667,1067.93333333333,2148.05,5154,4961,193,58.2109780889993,86.3778776099253
Kawhi Leonard,202695,0.617127863690616,1.06670861795651,1.68383648164712,108,66,59,74,4679,4766,9445,1194.73333333333,1243.96666666667,2438.7,5153,5456,-303,54.5579671784013,76.0683970968139
Kyle Korver,2594,0.445498980713589,1.19357673195914,1.63907571267273,132,58,60,67,3398,3525,6923,843.1,906.633333333333,1749.73333333333,3835,4010,-175,55.3950599451105,78.9034519545836
Frank Kaminsky,1626163,0.19072052624127,1.444885198693,1.63560572493427,172,44,61,75,3796,3839,7635,944.416666666667,1005.43333333333,1949.85,4255,4364,-109,55.7301899148658,78.5598892222479
Toney Douglas,201962,2.47696220593908,-0.851629505100279,1.6253327008388,15,355,62,24,734,802,1536,186.483333333333,211.116666666667,397.6,862,860,2,56.1197916666667,78.0482897384306
Mason Plumlee,203486,0.384897849504227,1.22075244198192,1.60565029148614,140,55,63,81,4227,4300,8527,1050.16666666667,1060,2110.16666666667,4803,4996,-193,56.3269614166764,81.9404470420978
Arron Afflalo,201167,1.38011454550643,0.204186407427524,1.58430095293395,39,187,64,61,3011,2978,5989,758.366666666667,801.433333333334,1559.8,3495,3347,148,58.3569878109868,80.6641877163739
D'Angelo Russell,1626156,0.541197273468213,1.02250197714899,1.5636992506172,120,71,65,63,3602,3652,7254,878.966666666667,900.3,1779.26666666667,4094,4165,-71,56.4378274055694,82.834126419124
Kyrie Irving,202681,1.15820851126112,0.403829749167028,1.56203826042815,55,155,66,72,5061,5107,10168,1243.81666666667,1257.23333333333,2501.05,5941,5719,222,58.4284028324154,85.514483916755
Luis Scola,2449,0.685265524762431,0.875762935814841,1.56102846057727,99,92,67,36,935,931,1866,225.866666666667,231.366666666667,457.233333333333,1054,1046,8,56.4844587352626,82.9860756725232
Dwight Powell,203939,-0.735425252577519,2.22297571270459,1.48755046012707,324,25,68,77,2529,2462,4991,689.383333333333,646.7,1336.08333333333,2736,2909,-173,54.8186736125025,73.7199525977671
Nerlens Noel,203457,1.72628696432682,-0.263150296423508,1.46313666790331,26,270,69,51,1938,2046,3984,513.2,518.35,1031.55,2243,2256,-13,56.3002008032129,78.2783190344627
Tyson Chandler,2199,0.529602926122621,0.924713235448243,1.45431616157086,122,84,70,47,2593,2597,5190,650.466666666667,626.616666666667,1277.08333333333,2993,2951,42,57.6685934489403,84.3703752039152
Garrett Temple,202066,1.01032901025924,0.429541700581944,1.43987071084119,67,150,71,65,3292,3291,6583,858.15,863.683333333333,1721.83333333333,3786,3728,58,57.5117727479872,79.1574871745233
Lou Williams,101150,0.680084056403057,0.751370203740762,1.43145426014382,100,107,72,81,4087,4108,8195,985.816666666667,1003.63333333333,1989.45,4695,4634,61,57.2910311165345,84.9581542637412
Alan Anderson,101187,-0.138761565463732,1.55821553948698,1.41945397402324,224,41,73,30,598,601,1199,152.866666666667,156.083333333333,308.95,663,694,-31,55.2960800667223,77.2552192911474
Channing Frye,101112,0.40019996528703,1.01217074049932,1.41237070578635,135,73,74,74,2641,2800,5441,675.316666666667,712.4,1387.71666666667,3046,3172,-126,55.9823561845249,79.019012046167
Michael Beasley,201563,-0.183321272299275,1.56637943561604,1.38305816331676,236,40,75,56,1811,1809,3620,467.633333333333,461.283333333333,928.916666666667,2037,2075,-38,56.2707182320442,78.943572261595
Darren Collison,201954,1.01227633005142,0.358569691079069,1.37084602113049,66,160,76,68,3886,3951,7837,995.55,1042.75,2038.3,4499,4447,52,57.4071711113947,79.4603345925526
JJ Redick,200755,1.46349520286812,-0.133147192959923,1.3303480099082,34,246,77,78,4307,4359,8666,1069.11666666667,1085.25,2154.36666666667,5095,4786,309,58.7929840756981,85.1387105259086
Kenneth Faried,202702,0.645151951071931,0.682354160048927,1.32750611112086,104,116,78,61,2657,2634,5291,632.133333333333,654.766666666667,1286.9,3036,3013,23,57.3804573804574,84.9296759654985
Alex Poythress,1627816,1.33678403451529,-0.0331453030584194,1.30363873145687,40,230,79,6,307,324,631,77.7833333333333,78.75,156.533333333333,357,357,0,56.5768621236133,82.1039182282794
Marquese Chriss,1627737,0.60190973959171,0.699615786419199,1.30152552601091,110,112,80,82,3548,3571,7119,860.6,843.233333333333,1703.83333333333,4082,4012,70,57.3395139766821,86.2478724444879
Leandro Barbosa,2571,1.16839047234182,0.129494007384269,1.29788447972609,53,199,81,67,1924,1911,3835,478.85,481.15,960,2225,2072,153,58.0182529335072,83.4375
Tim Hardaway Jr.,203501,1.32979697866542,-0.0331414384122237,1.29665554025319,42,229,82,79,4244,4267,8511,1037.8,1103.51666666667,2141.31666666667,4770,4680,90,56.0451180824815,80.1936503241775
Nick Young,201156,0.503482433720948,0.7892788854495,1.29276131917045,123,103,83,60,3158,3152,6310,768.866666666667,770.216666666667,1539.08333333333,3565,3567,-2,56.4976228209192,83.387297633873
Okaro White,1627855,2.21386130262503,-0.983840657464342,1.23002064516069,20,367,84,35,897,929,1826,233.516666666667,238.483333333333,472,1043,993,50,57.1193866374589,79.5508474576271
Paul George,202331,0.16080556135194,1.03285837499584,1.19366393634778,180,69,85,75,5193,5216,10409,1335.71666666667,1333.65,2669.36666666667,5884,5915,-31,56.528004611394,79.3536544248948
Jamal Crawford,2037,0.501001857932612,0.686481034896927,1.18748289282954,126,115,86,82,4222,4216,8438,1077.33333333333,1075.86666666667,2153.2,4810,4736,74,57.0040293908509,80.4198402377856
Thomas Robinson,203080,0.93421856258825,0.241027115529197,1.17524567811745,74,179,87,47,1102,1098,2200,277.233333333333,279.633333333333,556.866666666667,1264,1221,43,57.4545454545455,81.7143541242667
Bojan Bogdanovic,202711,0.336082438846007,0.836689747419669,1.17277218626568,147,97,88,81,4147,4238,8385,1015.23333333333,1029.95,2045.18333333333,4647,4777,-130,55.4203935599285,81.7980458149636
Damian Lillard,203081,0.215293901367824,0.920527173619115,1.13582107498694,166,87,89,75,5376,5416,10792,1327.65,1336.66666666667,2664.31666666667,6025,6197,-172,55.8283914010378,81.4092418944195
Allen Crabbe,203459,0.95796812203448,0.170479088130305,1.12844721016479,72,193,90,79,4479,4438,8917,1136.13333333333,1119.56666666667,2255.7,5098,4992,106,57.1716945160929,81.3618832291528
Jeff Withey,203481,0.637012934881681,0.478130210933519,1.1151431458152,106,142,91,49,846,831,1677,209.466666666667,221.716666666667,431.183333333333,938,933,5,55.933214072749,78.3147153183101
Jabari Parker,203953,0.549904257699385,0.517652771573852,1.06755702927324,118,137,92,51,3379,3384,6763,853.983333333333,852.033333333334,1706.01666666667,3860,3784,76,57.0752624574893,81.4528970994812
Otto Porter Jr.,203490,0.696561131505345,0.368274917522915,1.06483604902826,98,159,93,80,5099,5233,10332,1275.66666666667,1285.93333333333,2561.6,5807,5980,-173,56.2040263259776,81.6099312929419
Enes Kanter,202683,0.031747820722057,1.02857996822741,1.06032778894947,192,70,94,72,3023,3102,6125,771.6,762.266666666667,1533.86666666667,3353,3485,-132,54.7428571428571,78.6952364394993
Malcolm Brogdon,1627763,1.26904294943275,-0.214165482208465,1.05487746722428,44,261,95,75,3769,3793,7562,980.266666666667,980.983333333333,1961.25,4379,4191,188,57.9079608569162,80.3793499043977
Jeff Teague,201952,0.543157438167807,0.50492026345985,1.04807770162766,119,138,96,82,5150,5218,10368,1304.75,1326.38333333333,2631.13333333333,5884,5880,4,56.7515432098766,80.5067524767527
Monta Ellis,101145,0.0993733412704209,0.942568341115235,1.04194168238566,187,82,97,74,3845,3866,7711,969.783333333333,1002.41666666667,1972.2,4335,4368,-33,56.2183893139671,79.1299056890782
Bradley Beal,203078,-0.242511873508006,1.27391711668135,1.03140524317334,250,52,98,77,5297,5352,10649,1323.73333333333,1319.28333333333,2643.01666666667,5934,6214,-280,55.7235421166307,80.825824026838
Maurice Harkless,203090,-0.365536416409511,1.38406543451698,1.01852901810747,272,46,99,77,4435,4443,8878,1104.3,1088.85,2193.15,4921,5145,-224,55.4291507096193,80.7769646399015
Mike Conley,201144,0.394537953346814,0.623735132684892,1.01827308603171,137,124,100,69,4239,4400,8639,1075.98333333333,1184.55,2260.53333333333,4754,4889,-135,55.0295173052437,75.7095670638198
Reggie Jackson,202704,2.54962604881242,-1.53341587217688,1.01621017663554,14,411,101,52,2633,2842,5475,691.45,700.533333333333,1391.98333333333,3131,2917,214,57.1872146118722,80.9751074605778
Kyle Lowry,200768,-0.248985940273904,1.25649250084917,1.00750656057527,252,54,102,60,4269,4349,8618,1078.8,1121.95,2200.75,4730,4991,-261,54.8851241587375,77.3736226286493
Brandon Ingram,1627742,0.419622174432954,0.54646121145832,0.966083385891274,134,132,103,79,4552,4577,9129,1126.91666666667,1137.11666666667,2264.03333333333,5186,5147,39,56.8079745864826,82.4616834263335
Zaza Pachulia,2585,1.11290381088678,-0.172672806558928,0.940231004327852,60,254,104,70,2543,2523,5066,599.4,628.733333333333,1228.13333333333,3028,2776,252,59.7710225029609,88.7590923895343
Juancho Hernangomez,1627823,-0.906946643737661,1.8444783232518,0.937531679514138,344,31,105,62,1716,1710,3426,407.233333333333,429.866666666667,837.1,1907,2014,-107,55.6625802685347,82.0117070839804
JR Smith,2747,0.346367057384081,0.571801275852492,0.918168333236573,143,131,106,41,2336,2413,4749,589.1,590.316666666667,1179.41666666667,2695,2704,-9,56.7487892187829,82.2610047339787
Patrick Patterson,202335,-0.238442425010936,1.14197965620853,0.903537231197594,249,63,107,65,3079,3135,6214,780.45,815.216666666667,1595.66666666667,3403,3600,-197,54.7634373994207,76.7754334656361
Marcin Gortat,101162,0.290519821016334,0.607094282109271,0.897614103125605,154,128,108,82,5038,5081,10119,1271.96666666667,1248.56666666667,2520.53333333333,5694,5825,-131,56.2703824488586,81.3256453660601
Wilson Chandler,201163,-0.179481902267022,1.07525757714233,0.895775674875309,235,65,109,71,4443,4479,8922,1082.76666666667,1105.13333333333,2187.9,5023,5183,-160,56.2990360905627,82.6491155902921
Dante Cunningham,201967,-0.101878963000231,0.992383918316838,0.890504955316607,217,74,110,66,3296,3289,6585,802.366666666667,834.183333333333,1636.55,3614,3705,-91,54.8823082763857,79.4989459533775
Patrick Beverley,201976,0.739179916434576,0.143496003782547,0.882675920217123,95,197,111,67,4127,4095,8222,989.75,1019.68333333333,2009.43333333333,4837,4619,218,58.8299683775237,86.6572665593949
Klay Thompson,202691,1.09321191176224,-0.232374242018555,0.86083766974368,62,266,112,78,5275,5373,10648,1270.35,1331.55,2601.9,6261,5862,399,58.7997746055597,86.6274645451401
Richard Jefferson,2210,1.52997439870667,-0.686483663320651,0.843490735386018,32,327,113,79,3080,3203,6283,783.55,815.45,1599,3626,3506,120,57.7112844182715,81.6360225140713
T.J. Warren,203933,0.211143646699138,0.622621224547751,0.833764871246889,167,125,114,66,4212,4269,8481,1015.48333333333,1008.21666666667,2023.7,4804,4768,36,56.6442636481547,85.4593072095666
Julius Randle,203944,0.0357078360456822,0.781680597950894,0.817388433996577,191,104,115,74,4286,4326,8612,1039.05,1072.51666666667,2111.56666666667,4818,4913,-95,55.9451927542963,82.1418536000127
Ben McLemore,203463,0.312763721964953,0.466920020561994,0.779683742526948,150,144,116,61,2244,2201,4445,572.433333333333,586.95,1159.38333333333,2536,2495,41,57.0528683914511,78.7453100067565
Andre Iguodala,2738,1.2210939508542,-0.451212660203773,0.769881290650427,47,296,117,76,4033,4076,8109,977.833333333333,1029.55,2007.38333333333,4764,4412,352,58.7495375508694,85.43659656435
Kevin Seraphin,202338,0.501299097862495,0.262920169764335,0.76421926762683,125,176,118,47,1069,1108,2177,269.433333333333,284.966666666667,554.4,1202,1222,-20,55.2135966926964,78.0519480519481
Clint Capela,203991,1.15831756853539,-0.396033980453092,0.762283588082295,54,286,119,65,3104,3084,6188,748.783333333333,768.3,1517.08333333333,3661,3445,216,59.1628959276018,86.8745948915133
Pau Gasol,2200,-0.395373009448397,1.15638997778288,0.761016968334478,281,61,120,64,3086,3082,6168,793.133333333333,807.816666666667,1600.95,3349,3553,-204,54.2963683527886,75.3077860020613
KJ McDaniels,203909,0.388326230955384,0.351420234086993,0.739746465042376,138,163,121,49,1003,1024,2027,248.633333333333,257.55,506.183333333333,1124,1142,-18,55.4514060187469,79.9394158901584
Emmanuel Mudiay,1626144,-0.496823216439324,1.21594758311331,0.719124366673985,297,57,122,55,2863,2896,5759,681.066666666667,707.85,1388.91666666667,3186,3354,-168,55.3221045320368,82.5794684106318
Sam Dekker,1626155,0.173057810472609,0.541933874138287,0.714991684610896,176,134,123,77,2889,2873,5762,697.5,722.433333333333,1419.93333333333,3304,3242,62,57.3412009718848,83.7673130193906
Jonas Jerebko,201973,1.17686796457896,-0.464316812215706,0.71255115236325,51,299,124,78,2415,2461,4876,622.533333333333,609.7,1232.23333333333,2775,2669,106,56.9114027891715,81.0723077339249
Quincy Acy,203112,-0.56496076443305,1.27500279247198,0.710042028038934,306,51,125,38,1131,1101,2232,275,283.283333333333,558.283333333333,1235,1250,-15,55.331541218638,79.6369824163358
Thon Maker,1627748,0.384983465930899,0.294050401126048,0.679033867056947,139,171,126,56,1025,1043,2068,268.916666666667,272.433333333333,541.35,1183,1159,24,57.2050290135397,78.6699916874481
CJ Miles,101139,1.12322138893555,-0.457546541339601,0.665674847595952,59,298,127,76,3422,3438,6860,871.816666666667,888.883333333333,1760.7,3928,3762,166,57.2594752186589,80.3135116714943
Doug McDermott,203926,1.17514138384472,-0.524145181280109,0.650996202564616,52,306,128,66,2968,2999,5967,739.516666666667,764.533333333333,1504.05,3328,3237,91,55.7734204793028,79.6569262989927
Jordan Clarkson,203903,0.755057219026927,-0.104220562822583,0.650836656204344,92,243,129,82,4795,4802,9597,1177.91666666667,1202.21666666667,2380.13333333333,5487,5351,136,57.1741169115349,82.9919892443001
Russell Westbrook,201566,0.201608748599128,0.434570449531979,0.636179198131107,169,149,130,81,5629,5796,11425,1407.21666666667,1358.65,2765.86666666667,6224,6429,-205,54.4770240700219,81.0104126494408
Devin Booker,1626164,0.356592031219908,0.27794160602916,0.634533637249068,142,174,131,78,5572,5659,11231,1355.9,1343.73333333333,2699.63333333333,6388,6299,89,56.8782833229454,85.1849016533109
Nicolas Batum,201587,0.0316030915281816,0.599306849610619,0.630909941138801,193,129,132,77,5105,5176,10281,1265.05,1318.8,2583.85,5691,5791,-100,55.3545374963525,79.2909805135747
Joe Johnson,2207,-0.675503030652244,1.3012122208548,0.625709190202551,318,50,133,78,3409,3463,6872,883.483333333333,956.1,1839.58333333333,3697,3950,-253,53.7980209545984,72.3489920724802
David Lee,101135,-1.09727182993417,1.71321856560755,0.615946735673373,363,34,134,79,2807,2889,5696,729.566666666667,747.433333333333,1477,2978,3374,-396,52.2823033707865,72.5849695328368
Kemba Walker,202689,-0.193157959662388,0.79951650968129,0.606358550018902,237,102,135,79,5286,5443,10729,1308.88333333333,1395.53333333333,2704.41666666667,5872,6114,-242,54.7301705657564,78.1654700644008
Iman Shumpert,202697,0.743581262101101,-0.142552246157791,0.60102901594331,94,250,136,76,3712,3852,7564,949.683333333333,964.466666666667,1914.15,4318,4263,55,57.0861977789529,81.2099365253507
Aaron Gordon,203932,1.14488771686604,-0.554131442676896,0.59075627418914,57,312,137,80,4547,4632,9179,1123.83333333333,1137.85,2261.68333333333,5196,4964,232,56.6074735810001,82.7065386400984
Danilo Gallinari,201568,0.792956058532077,-0.21722139545229,0.575734663079787,89,263,138,63,4314,4337,8651,1033.7,1067.75,2101.45,4962,4904,58,57.3575309212808,85.0041637916677
Seth Curry,203552,0.565091388921895,-0.013802273166509,0.551289115755386,114,224,139,70,3745,3684,7429,1061.8,950.066666666667,2011.86666666667,4191,4122,69,56.4140530354018,74.9930412883558
Tony Snell,203503,0.640154066826659,-0.0905294126855514,0.549624654141108,105,241,140,80,4456,4505,8961,1147.76666666667,1152.18333333333,2299.95,5141,4992,149,57.3708291485325,80.4695754255527
Darrell Arthur,201589,0.537134451460612,0.000422680428108634,0.537557131888721,121,219,141,41,1269,1274,2543,316.166666666667,321.183333333333,637.35,1442,1440,2,56.704679512387,81.4497528830313
Tyler Ennis,203898,-0.547622705521194,1.0802132812893,0.532590575768108,305,64,142,53,1097,1151,2248,281.883333333333,297.433333333333,579.316666666667,1224,1314,-90,54.4483985765125,76.0620271008947
DeMar DeRozan,201942,0.107821393261479,0.397721553566217,0.505542946827696,186,156,143,74,5148,5202,10350,1277.68333333333,1324.86666666667,2602.55,5758,5855,-97,55.6328502415459,79.648037501681
